file,category,bpm,bars,mood
Obsidian_Throne_88BPM_Fm.wav,loop,88,8,dark_eerie_godlike
Obsidian_Throne_88BPM_Fm_NO_DRUMS.wav,alt_mix,88,8,dark_eerie_godlike
Eclipse_Cathedral_84BPM_Dm.wav,loop,84,8,dark_eerie_godlike
Eclipse_Cathedral_84BPM_Dm_NO_DRUMS.wav,alt_mix,84,8,dark_eerie_godlike
Godhand_Abyss_90BPM_Em.wav,loop,90,8,dark_eerie_godlike
Godhand_Abyss_90BPM_Em_NO_DRUMS.wav,alt_mix,90,8,dark_eerie_godlike
Seraph_of_Dread_86BPM_Gm.wav,loop,86,8,dark_eerie_godlike
Seraph_of_Dread_86BPM_Gm_NO_DRUMS.wav,alt_mix,86,8,dark_eerie_godlike
Ritual_Singularity_82BPM_Cm.wav,loop,82,8,dark_eerie_godlike
Ritual_Singularity_82BPM_Cm_NO_DRUMS.wav,alt_mix,82,8,dark_eerie_godlike
Obsidian_Throne_PAD_88BPM.wav,stem,88,8,dark_eerie_godlike
Obsidian_Throne_CHOIR_88BPM.wav,stem,88,8,dark_eerie_godlike
Obsidian_Throne_BELLS_88BPM.wav,stem,88,8,dark_eerie_godlike
