file,category,bpm,bars,mood
Throne_of_Thorns_80BPM_Fm.wav,loop,80,8,dark_eerie_godlike_violin
Throne_of_Thorns_80BPM_Fm_NO_DRUMS.wav,alt_mix,80,8,dark_eerie_godlike_violin
Widow_Cathedral_78BPM_Dm.wav,loop,78,8,dark_eerie_godlike_violin
Widow_Cathedral_78BPM_Dm_NO_DRUMS.wav,alt_mix,78,8,dark_eerie_godlike_violin
Abyssal_Crown_82BPM_Em.wav,loop,82,8,dark_eerie_godlike_violin
Abyssal_Crown_82BPM_Em_NO_DRUMS.wav,alt_mix,82,8,dark_eerie_godlike_violin
Saint_of_Nightfall_76BPM_Gm.wav,loop,76,8,dark_eerie_godlike_violin
Saint_of_Nightfall_76BPM_Gm_NO_DRUMS.wav,alt_mix,76,8,dark_eerie_godlike_violin
Black_Halo_Ritual_74BPM_Cm.wav,loop,74,8,dark_eerie_godlike_violin
Black_Halo_Ritual_74BPM_Cm_NO_DRUMS.wav,alt_mix,74,8,dark_eerie_godlike_violin
Throne_of_Thorns_VIOLIN_80BPM.wav,stem,80,8,dark_eerie_godlike_violin
Throne_of_Thorns_STRINGS_80BPM.wav,stem,80,8,dark_eerie_godlike_violin
Throne_of_Thorns_CHOIR_80BPM.wav,stem,80,8,dark_eerie_godlike_violin
