file,category,bpm,bars,mood
Lament_of_the_Black_Halo_72BPM_Fm.wav,loop,72,8,legato_violin_dark
Lament_of_the_Black_Halo_72BPM_Fm_VIOLIN_FOCUS.wav,alt_mix,72,8,legato_violin_dark
Widow_Saints_74BPM_Dm.wav,loop,74,8,legato_violin_dark
Widow_Saints_74BPM_Dm_VIOLIN_FOCUS.wav,alt_mix,74,8,legato_violin_dark
Cathedral_Weeping_70BPM_Em.wav,loop,70,8,legato_violin_dark
Cathedral_Weeping_70BPM_Em_VIOLIN_FOCUS.wav,alt_mix,70,8,legato_violin_dark
Crown_of_Nightfall_68BPM_Cm.wav,loop,68,8,legato_violin_dark
Crown_of_Nightfall_68BPM_Cm_VIOLIN_FOCUS.wav,alt_mix,68,8,legato_violin_dark
Lament_of_the_Black_Halo_SOLO_VIOLIN.wav,stem,72,8,legato_violin_dark
Lament_of_the_Black_Halo_CHOIR_PAD.wav,stem,72,8,legato_violin_dark
Lament_of_the_Black_Halo_LOW_PAD.wav,stem,72,8,legato_violin_dark
