file,category,bpm,bars,mood
Heartline_Horizon_96BPM_Amaj.wav,loop,96,8,emotional_romantic
Heartline_Horizon_96BPM_Amaj_NO_DRUMS.wav,alt_mix,96,8,emotional_romantic
Pink_Afterlight_92BPM_Fmaj.wav,loop,92,8,emotional_romantic
Pink_Afterlight_92BPM_Fmaj_NO_DRUMS.wav,alt_mix,92,8,emotional_romantic
Velvet_Boulevard_98BPM_Dmaj.wav,loop,98,8,emotional_romantic
Velvet_Boulevard_98BPM_Dmaj_NO_DRUMS.wav,alt_mix,98,8,emotional_romantic
Cinema_Hearts_94BPM_Cmaj.wav,loop,94,8,emotional_romantic
Cinema_Hearts_94BPM_Cmaj_NO_DRUMS.wav,alt_mix,94,8,emotional_romantic
Lovers_In_The_Neon_90BPM_Gmaj.wav,loop,90,8,emotional_romantic
Lovers_In_The_Neon_90BPM_Gmaj_NO_DRUMS.wav,alt_mix,90,8,emotional_romantic
Heartline_Horizon_PAD_96BPM.wav,stem,96,8,emotional_romantic
Heartline_Horizon_LEAD_96BPM.wav,stem,96,8,emotional_romantic
Heartline_Horizon_BELLS_96BPM.wav,stem,96,8,emotional_romantic
